HOTELNAAM_2014,NHC_2014,KAM_2014,BED_2014,STRAAT_2014,HUISID_2014,POSTCODE_2014,BRTK10,unesco,Soort_hotel_hostel/ jeugdherberg
AMSTERDAM AMERICAN HOTEL - HAMPSHIRE EDEN,4,175,354,LEIDSEKADE,97,1017PN,A07b,B,hotel
AMSTEL INTERCONTINENTAL AMSTERDAM,5,79,165,PROFESSOR TULPPLEIN,1,1018GX,A08b,B,hotel
"AMSTERDAM CENTRE,NH",4,232,462,STADHOUDERSKADE,7,1054ES,E22a,,hotel
"BARBIZON PALACE,NH",5,274,544,PRINS HENDRIKKADE,59-72,1012AD,A00a,B,hotel
"DOELEN HOTEL,NH",4,85,162,NIEUWE DOELENSTRAAT,24,1012CP,A00e,B,hotel
"EUROPE HOTEL,DE L'",5,111,222,NIEUWE DOELENSTRAAT,2-8,1012CP,A00e,B,hotel
GRAND HOTEL KRASNAPOLSKY NH,5,468,937,DAM,9,1012JS,A00b,B,hotel
PARK HOTEL,4,189,378,STADHOUDERSKADE,25,1071ZD,K47b,,hotel
WYNDHAM APOLLO AMSTERDAM,4,446,669,APOLLOLAAN,2,1077BA,K49b,,hotel
PIET HEIN HOTEL,3,81,141,VOSSIUSSTRAAT,51-53,1071AK,K47c,,hotel
NOVA HOTEL,3,61,140,NIEUWEZIJDS VOORBURGWAL,276-278,1012RS,A01f,B,hotel
"BRIDGE HOTEL,THE",3,51,115,AMSTEL,107-111,1018EM,A08a,K,hotel
PARK PLAZA VICTORIA AMSTERDAM HOTEL,4,306,604,DAMRAK,1-5,1012LG,A01c,B,hotel
HAMPHSHIRE HOTEL BEETHOVEN,3,52,107,BEETHOVENSTRAAT,43-51,1077HN,K49b,,hotel
AMSTERDAM MARRIOTT HOTEL,5,396,1061,STADHOUDERSKADE,12,1054ES,E22a,,hotel
HILTON AMSTERDAM HOTEL,5,271,542,APOLLOLAAN,138,1077BG,K49c,,hotel
"GERSTEKORREL HOTEL,DE",2,32,75,DAMSTRAAT,22,1012JM,A00d,B,hotel
DAMRAK INN HOTEL,2,23,56,DAMRAK,58,1012LL,A01e,B,hotel
CHICO'S GUESTHOUSE,0,3,6,ST.WILLIBRORDUSSTRAAT,77,1073VA,K25b,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
DAMHOTEL,2,19,51,DAMRAK,31,1012LJ,A01c,B,hotel
AMSTERDAM HOSTEL CENTRE,1,11,41,LEIDSEKRUISSTRAAT,13,1017RE,A07c,K,hostel/ jeugdherberg
CORDIAL HOTEL,3,59,108,ROKIN,62-64,1012KW,A01g,B,hotel
BLYSS HOTEL,3,39,87,VONDELSTRAAT,74,1054GN,E22a,,hotel
"LEIDSE SQUARE HOTEL A'DAM, BEST WESTERN",3,89,187,TESSELSCHADESTRAAT,23,1054ET,E22a,,hotel
KOOYK HOTEL,1,19,39,LEIDSEKADE,81-83,1017PM,A07b,B,hotel
MERCURE HOTEL AMSTERDAM CITY,4,368,751,JOAN MUYSKENWEG,10,1096CJ,M58d,,hotel
NEUTRAAL HOTEL,0,34,55,DAMRAK,8,1012LG,A01c,B,hotel
MANOFA HOTEL,1,47,126,DAMRAK,46-48,1012LL,A01e,B,hotel
AGORA HOTEL,2,16,38,SINGEL,462,1017AW,A01i,K,hotel
"POSTE HOTEL,DE LA",2,7,17,REGULIERSGRACHT,3-5,1017LJ,A03d,K,hotel
ROEMER HOTEL,4,23,46,ROEMER VISSCHERSTRAAT,8-10,1054EX,E22a,,hotel
RHO HOTEL,3,167,333,NES,5-23,1012KC,A00d,B,hotel
AMSTERDAM-DE ROODE LEEUW HOTEL,4,79,147,DAMRAK,93-94,1012LP,A01e,B,hotel
INNER HOTEL,2,84,298,WANNINGSTRAAT,1,1071LA,K47c,,hotel
SINT NICOLAAS HOTEL,3,27,60,SPUISTRAAT,1A,1012SP,A01b,B,hotel
"SCHILLER HOTEL, NH",4,92,174,REMBRANDTPLEIN,26-36,1017CV,A03e,K,hotel
HAMPSHIRE HOTEL LANCASTER,3,91,195,PLANTAGE MIDDENLAAN,48,1018DH,A08c,B,hotel
JIMMY HOTEL,1,14,28,MARTELAARSGRACHT,15,1012TN,A01c,B,hotel
ATLANTA HOTEL,2,36,71,REMBRANDTPLEIN,8,1017CV,A03e,K,hotel
"REGAL HOTEL,THE",1,11,24,BINNEN WIERINGERSTRAAT,7,1013EA,A05b,K,hotel
VAN GELDER HOTEL,1,32,63,DAMRAK,34,1012LK,A01e,B,hotel
FREDERIK PARK HOUSE HOTEL,0,4,8,FREDERIKSPLEIN,22,1017XM,A07g,B,hotel
"CROWN HOTEL,THE",1,17,41,OUDEZIJDS VOORBURGWAL,21,1012EH,A00a,B,hotel
"DYLAN, THE",4,40,79,KEIZERSGRACHT,384,1016GB,A02c,K,hotel
SINGEL HOTEL,3,32,66,SINGEL,13-17,1012VC,A01b,K,hotel
DELTA HOTEL,3,47,110,DAMRAK,42-43,1012LK,A01e,B,hotel
HEGRA HOTEL,2,11,23,HERENGRACHT,269,1016BJ,A02c,K,hotel
D'AMSTERDAM HOTEL,3,16,31,TWEEDE HELMERSSTRAAT,4,1054CH,E20a,,hotel
SARPHATI HOTEL,2,15,32,SARPHATIPARK,58,1073CZ,K25b,,hotel
SPHINX HOTEL EUROPE,0,22,44,WETERINGSCHANS,82,1017XR,A07f,B,hotel
AMSTERDAM WIECHMANN HOTEL,2,37,79,PRINSENGRACHT,328-332,1016HX,A06g,K,hotel
THE ALBUS,4,74,150,VIJZELSTRAAT,49,1017HE,A03c,K,hotel
"ADMIRAAL HOTEL,DE",1,9,24,HERENGRACHT,563,1017CD,A03e,K,hotel
SARPHATI SUITES,4,4,8,SARPHATISTRAAT,113,1018GB,A08b,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
SHENZHOU BED & BREAKFAST,1,3,6,GELDERSEKADE,75,1011EL,A04d,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
DAM CITY ACCOMMODATION,1,3,8,OUDE HOOGSTRAAT,7A-B,1012CD,A00c,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
"MALLE MOOLEN HOTEL,DE",1,13,33,WARMOESSTRAAT,7,1012HT,A00a,B,hotel
MISC EATDRINKSLEEP,2,6,12,KLOVENIERSBURGWAL,20,1012CV,A00c,B,hotel
"OLD NICKEL HOTEL,THE",1,14,34,NIEUWEBRUGSTEEG,11,1012AG,A00a,B,hotel
BROUWER HOTEL,1,8,16,SINGEL,83-85,1012VE,A01d,K,hotel
AIVENGO YOUTH HOSTEL,0,2,38,SPUISTRAAT,6,1012TS,A01b,K,hostel/ jeugdherberg
SEVEN ONE SEVEN,4,9,18,PRINSENGRACHT,717,1017JW,A03a,K,hotel
'T HOTEL LILY,3,8,18,LELIEGRACHT,18,1015DE,A02b,K,hotel
"MUSEUM QUARTER,NH",4,163,326,HOBBEMAKADE,50,1071XL,K50a,,hotel
ZUIVER / AMSTELPARK HOTEL,3,31,62,KOENENKADE,8,1081KH,K90e,,hotel
IBIS AMSTERDAM CITY STOPERA,3,207,440,VALKENBURGERSTRAAT,68,1011LZ,A04f,B,hotel
MEVLANA HOTEL,1,16,28,NIEUWEZIJDS VOORBURGWAL,160,1012SJ,A01d,B,hotel
SCHAGEN HOTEL,1,10,22,NIEUWEBRUGSTEEG,19,1012AG,A00a,B,hotel
WESTCORD AMSTERDAM ART 3-STERREN,3,130,260,SPAARNDAMMERDIJK,302,1013ZX,E13f,,hotel
TULIP INN AMSTERDAM CENTRE,3,108,229,BEURSSTRAAT,11-19,1012JT,A00b,B,hotel
"KOOPERMOOLEN HOTEL,DE",2,23,43,WARMOESSTRAAT,5,1012HT,A00a,B,hotel
BELLINGTON HOTEL,2,11,26,P CORNELISZ HOOFTSTR,78,1071CB,K47b,,hotel
HOTEL VICTORIE,2,28,55,VICTORIEPLEIN,42,1078PH,K52d,,hotel
AMSTERDAM HOUSE HOTEL EUREKA,3,31,60,'S GRAVELANDSEVEER,3-4,1011KM,A04h,B,hotel
HOTUSA OMEGA HOTEL,3,31,65,JACOB OBRECHTSTRAAT,33,1071KG,K47c,,hotel
"GOLDEN BEAR GAY HOTEL,THE",1,17,32,KERKSTRAAT,37,1017GB,A02e,K,hotel
WEBER HOTEL,2,7,14,MARNIXSTRAAT,397,1017PJ,A07b,B,hotel
TAMARA HOTEL,1,11,26,NIEUWEZIJDS VOORBURGWAL,144,1012SJ,A01d,B,hotel
"V FREDERIKSPLEIN, HOTEL",3,48,96,WETERINGSCHANS,136,1017XV,A07h,B,hotel
BEST WESTERN APOLLO MUSEUMHOTEL AMSTERDAM CITY CENTRE,3,188,364,P CORNELISZ HOOFTSTR,2-10,1071BX,K47b,,hotel
PLANTAGE HOTEL,2,19,44,PLANTAGE KERKLAAN,25,1018CV,A08c,B,hotel
IMPERIAL HOTEL,2,14,31,THORBECKEPLEIN,9,1017CS,A03c,K,hotel
SIPERMANN HOTEL,2,17,33,ROEMER VISSCHERSTRAAT,35,1054EW,E22a,,hotel
"ROOKIES, HOTEL THE",2,12,21,KORTE LEIDSEDWARSSTRAAT,147,1017PZ,A07c,B,hotel
NH CARLTON AMSTERDAM,4,218,440,VIJZELSTRAAT,4,1017HK,A03b,K,hotel
BRONCKHORST HOTEL,3,37,73,BRONCKHORSTSTRAAT,14,1071WR,K47f,,hotel
LARENDE HOTEL,3,14,26,DE CLERCQSTRAAT,115,1053AJ,E18a,,hotel
OLD CITY AMSTERDAM B&B,0,5,10,PIETER JACOBSZOONDWARSSTRAAT,7-11,1012HK,A00d,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
DOUBLETREE BY HILTON AMSTERDAM CENTRAL STATION,4,553,1106,OOSTERDOKSSTRAAT,4,1011DK,A04a,B,hotel
PARKZICHT HOTEL,2,14,24,ROEMER VISSCHERSTRAAT,33,1054EW,E22a,,hotel
HTEL SERVICED APARTMENTS,0,45,147,TEILINGEN,45,1082JP,K90c,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
EASTERN PARK APARTMENTS SUITES,0,10,20,WIJTTENBACHSTRAAT,30,1093JC,M29b,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
HOLIDAY INN AMSTERDAM,4,266,576,DE BOELELAAN,2,1083HJ,K91e,,hotel
MERCURE AMSTERDAM ARTHUR FROMMER,4,93,186,NOORDERSTRAAT,46,1017TV,A07e,B,hotel
"CARANSA HOTEL,NH",4,66,132,REMBRANDTPLEIN,19,1017CT,A03e,B,hotel
DIKKER & THIJS HOTEL,4,42,88,PRINSENGRACHT,444,1017KE,A07c,K,hotel
NOVOTEL AMSTERDAM CITY,4,610,1220,EUROPABOULEVARD,10,1083AD,K91c,,hotel
OKURA HOTEL AMSTERDAM,5,300,599,FERDINAND BOLSTRAAT,333,1072LH,K25c,,hotel
NH GALAXY,4,290,580,DISTELKADE,21,1031XP,N60a,,hotel
CONSCIOUS HOTEL MUSEUM SQUARE,3,36,79,DE LAIRESSESTRAAT,5-7,1071NR,K47f,,hotel
AC TULIP INN AMSTERDAM RIVERSIDE,3,192,396,PROVINCIALE WEG,38,1108AB,T95b,,hotel
CONSCIOUS HOTEL VONDELPARK,3,81,163,OVERTOOM,519-521,1054LH,E21b,,hotel
"TROPEN HOTEL,NH",3,80,160,LINNAEUSSTRAAT,2C,1092CK,M28c,,hotel
HESTIA HOTEL,3,18,36,ROEMER VISSCHERSTRAAT,7,1054EV,E22a,,hotel
FREELAND HOTEL,2,15,27,MARNIXSTRAAT,386,1017PL,A07b,B,hotel
"PULITZER HOTEL, A LUXURY COLLECTION HOTEL",5,230,398,PRINSENGRACHT,315-331,1016GZ,A02c,K,hotel
ARMADA CANALVIEW HOTEL,2,26,56,KEIZERSGRACHT,713-715,1017DX,A03d,K,hotel
ATLAS HOTEL,3,23,45,VAN EEGHENSTRAAT,64,1071GK,K47d,,hotel
HAMPSHIRE HOTEL - THEATRE DISTRICT AMSTERDAM,3,70,132,NASSAUKADE,387-390,1054AE,E20a,,hotel
