"1.1a  Bevolking buurten, 1 januari 2014-2018",,,,,,,
,,,,,2018,,
buurt,2014,2015,2016,2017,totaal,mannen,vrouwen
A00a Kop Zeedijk,1024,1006,1022,1024,1032,607,425
A00b Oude Kerk e.o.,644,670,673,664,689,393,296
A00c Burgwallen Oost,1526,1571,1616,1580,1589,860,729
A00d Nes e.o.,392,406,372,360,361,186,175
A00e BG-terrein e.o.,608,609,607,618,635,351,284
A01a Stationsplein e.o.,1,1,2,3,5,2,3
A01b Hemelrijk,523,530,515,533,539,297,242
A01c Nieuwendijk Noord,423,449,435,457,453,278,175
A01d Spuistraat Noord,762,786,823,799,798,440,358
A01e Nieuwe Kerk e.o.,748,797,821,833,808,450,358
A01f Spuistraat Zuid,936,928,692,672,654,359,295
A01g Begijnhofbuurt,426,413,416,413,424,180,244
A01h Kalverdriehoek,284,295,277,281,253,151,102
A02a Langestraat e.o.,1843,1827,1826,1838,1862,977,885
A02b Leliegracht e.o.,1765,1785,1798,1753,1757,929,828
A02c Felix Meritisbuurt,2126,2142,2167,2100,2086,1094,992
A02d Leidsegracht Noord,662,675,692,680,681,377,304
A03a Spiegelbuurt,810,815,828,810,815,451,364
A03b Gouden Bocht,143,157,156,141,134,78,56
A03c Van Loonbuurt,1415,1426,1432,1462,1423,729,694
A03d Amstelveldbuurt,1571,1524,1534,1498,1505,776,729
A03e Rembrandtpleinbuurt,468,487,518,513,477,272,205
A03f Reguliersbuurt,382,348,365,378,362,217,145
A03g Leidsegracht Zuid,605,631,622,605,639,375,264
A04a Oosterdokseiland,404,443,469,465,479,281,198
A04b Scheepvaarthuisbuurt,722,712,728,732,754,376,378
A04c Rapenburg,1035,982,1017,1032,1083,513,570
A04d Lastage,1045,1069,1067,1086,1073,554,519
A04e Nieuwmarkt,1654,1642,1625,1623,1634,802,832
A04f Uilenburg,1072,1116,1145,1152,1171,620,551
A04g Valkenburg,1150,1180,1161,1177,1173,607,566
A04h Zuiderkerkbuurt,1488,1513,1516,1503,1518,869,649
A04i Waterloopleinbuurt,873,882,890,879,895,471,424
A05a Westerdokseiland,1990,1976,1959,1926,1905,977,928
A05b Haarlemmerbuurt Oost,1527,1522,1486,1443,1463,720,743
A05c Haarlemmerbuurt West,2429,2474,2483,2501,2492,1257,1235
A05d Westelijke Eilanden,2862,2817,2876,2902,2951,1441,1510
A05f Planciusbuurt Noord,345,339,345,363,357,180,177
A05g Planciusbuurt Zuid,167,166,165,169,150,82,68
A06a Driehoekbuurt,2752,2776,2760,2678,2718,1339,1379
A06c Bloemgrachtbuurt,2954,2981,3001,2992,2980,1478,1502
A06d Marnixbuurt Noord,1497,1488,1482,1498,1498,732,766
A06e Zaagpoortbuurt,838,882,845,877,907,505,402
A06f Marnixbuurt Midden,207,204,200,201,205,105,100
A06g Elandsgrachtbuurt,4291,4276,4310,4257,4327,2191,2136
A06h Passeerdersgrachtbuurt,890,889,903,881,858,440,418
A06i Groenmarktkadebuurt,362,318,191,176,204,105,99
A06j Marnixbuurt Zuid,499,494,621,646,656,372,284
A06k Anjeliersbuurt Noord,2119,2165,2161,2153,2106,1069,1037
A06l Anjeliersbuurt Zuid,2934,2928,2934,2957,2983,1497,1486
A07a Leidsebuurt Noordwest,279,273,269,259,251,138,113
A07b Leidsebuurt Zuidwest,146,149,153,125,156,76,80
A07c Leidsebuurt Noordoost,953,969,968,965,967,498,469
A07d Leidsebuurt Zuidoost,308,321,323,313,314,172,142
