"","�..HOTELNAAM_2014","NHC_2014","KAM_2014","BED_2014","STRAAT_2014","HUISID_2014","POSTCODE_2014","BRTK10","unesco","Soort_hotel_hostel..jeugdherberg","lat","lon"
"1","AMSTERDAM AMERICAN HOTEL - HAMPSHIRE EDEN","4",175,354,"LEIDSEKADE","97","1017PN","A07b","B","hotel",52.3638288,"4.9943182"
"2","AMSTEL INTERCONTINENTAL AMSTERDAM","5",79,165,"PROFESSOR TULPPLEIN","1","1018GX","A08b","B","hotel",52.3599843,"4.9052427"
"3","AMSTERDAM CENTRE,NH","4",232,462,"STADHOUDERSKADE","7","1054ES","E22a","","hotel",52.3630852,"4.8794581"
"4","BARBIZON PALACE,NH","5",274,544,"PRINS HENDRIKKADE","59-72","1012AD","A00a","B","hotel",52.3764859,"4.9004724"
"5","DOELEN HOTEL,NH","4",85,162,"NIEUWE DOELENSTRAAT","24","1012CP","A00e","B","hotel",52.368205,"4.8957416"
"6","EUROPE HOTEL,DE L'","5",111,222,"NIEUWE DOELENSTRAAT","2-8","1012CP","A00e","B","hotel",52.3680084,"4.8950111"
"7","GRAND HOTEL KRASNAPOLSKY NH","5",468,937,"DAM","9","1012JS","A00b","B","hotel",52.3727291,"4.8943846"
"8","PARK HOTEL","4",189,378,"STADHOUDERSKADE","25","1071ZD","K47b","","hotel",52.3615628,"4.8828667"
"9","WYNDHAM APOLLO AMSTERDAM","4",446,669,"APOLLOLAAN","2","1077BA","K49b","","hotel",52.3480892,"4.884737"
"10","PIET HEIN HOTEL","3",81,141,"VOSSIUSSTRAAT","51-53","1071AK","K47c","","hotel",52.3598718,"4.8765094"
"11","NOVA HOTEL","3",61,140,"NIEUWEZIJDS VOORBURGWAL","276-278","1012RS","A01f","B","hotel",52.3731557,"4.8905558"
"12","BRIDGE HOTEL,THE","3",51,115,"AMSTEL","107-111","1018EM","A08a","K","hotel",52.3669185,"4.8989426"
"13","PARK PLAZA VICTORIA AMSTERDAM HOTEL","4",306,604,"DAMRAK","1-5","1012LG","A01c","B","hotel",52.3769214,"4.8982816"
"14","HAMPHSHIRE HOTEL BEETHOVEN","3",52,107,"BEETHOVENSTRAAT","43-51","1077HN","K49b","","hotel",52.344776,"4.8766749"
"15","AMSTERDAM MARRIOTT HOTEL","5",396,1061,"STADHOUDERSKADE","12","1054ES","E22a","","hotel",52.3625488,"4.8801249"
"16","HILTON AMSTERDAM HOTEL","5",271,542,"APOLLOLAAN","138","1077BG","K49c","","hotel",52.3514296,"4.872012"
"17","GERSTEKORREL HOTEL,DE","2",32,75,"DAMSTRAAT","22","1012JM","A00d","B","hotel",52.3721264,"4.8947975"
"18","DAMRAK INN HOTEL","2",23,56,"DAMRAK","58","1012LL","A01e","B","hotel",52.375113,"4.895313"
