"","formatted_address","name","place_id","lat","lng"
"1","Albert Cuypstraat 184, 1073 BL Amsterdam, Netherlands","Budget Souvenirs","ChIJk3SMfY0JxkcR6Rf9VUhhj5U",52.3558877,4.8954674
"2","Nieuwezijds Voorburgwal 62, 1012 SC Amsterdam, Netherlands","Dutch Souvenirs Shop","ChIJKa_iy8cJxkcRjE_OeTS9A5s",52.3763738,4.8933455
"3","Warmoesstraat 47-HS, 1012 HW Amsterdam, Netherlands","Souvenir Shop Baba B.V.","ChIJ_aowRLgJxkcR4eJYxueJH34",52.3754351,4.8983226
"4","Albertcuyp Straat 262, 1073 BE Amsterdam, Netherlands","Albertcuyp Gift Shop","ChIJPydzGpIJxkcRzoj0EOulldc",52.3567706,4.8986304
"5","Leidsestraat 110, 1017 PG Amsterdam, Netherlands","Patrick Souvenirs B.V.","ChIJzSt8WOgJxkcRPWYJZb4Nd64",52.3645429,4.8831414
"6","Nieuwe Kerkstraat 12-HS, 1018 EA Amsterdam, Netherlands","Souvenir Shop Duivis","ChIJed-zVZYJxkcRU6HkOp2KjXw",52.3637802,4.9037921
"7","Damstraat 2A, 1012 JM Amsterdam, Netherlands","Naarden cigar and Souvenir Shop","ChIJQ6PuSccJxkcRNh38t-Jm0hQ",52.3723415,4.8941099
"8","Westermarkt 60, 1016 DL Amsterdam, Netherlands","The Smallest Gift Shop","ChIJfUVU3MQJxkcRZs6NMq5aZ7g",52.3746452,4.8840984
"9","Leidseplein 17, 1017 PS Amsterdam, Netherlands","The Bulldog Souvenir Shop","ChIJZeVR8OgJxkcRlaI2PwwplYQ",52.3639744,4.8833402
"10","Nieuwendijk 34, 1012 ML Amsterdam, Netherlands","Buddha's Souvenir Shop","ChIJ8RUdEcgJxkcRgRoP3PtNt6o",52.378153,4.8954258
"11","Reguliersbreestraat 40-42, 1017 CN Amsterdam, Netherlands","Bazar 2000","ChIJBSpOV5UJxkcRq3jbqfVf9u4",52.3663323,4.8952874
"12","Leidsestraat 26, 1017 PB Amsterdam, Netherlands","Souvenirs","ChIJEcON-ukJxkcRqEYm9Ny5sYo",52.3664001,4.8871793
"13","Jonge Roelensteeg 6, 1012 PL Amsterdam, Netherlands","Abraxas Souvenirs","ChIJt5vGLMEJxkcR01Qsl3vlepk",52.3721321,4.8916625
"14","Gasthuismolensteeg 12, 1016 AN Amsterdam, Netherlands","Concrete Matter","ChIJjenh9cMJxkcRPse9qFgh4zw",52.3722769,4.8876374
"15","Leidseplein 3, 1017 PR Amsterdam, Netherlands","Patrick's Souvenirs","ChIJa9Km9-gJxkcRwaUDo6nuLpc",52.3643126,4.8834265
"16","Raadhuisstraat 2, 1012 TJ Amsterdam, Netherlands","By Popular Demand","ChIJixfAo8YJxkcRY0VVDVtLFME",52.3733465,4.8895747
"17","Nieuwezijds Voorburgwal 172, 1012 SJ Amsterdam, Netherlands","Sweet Souvenir Shop I","ChIJFbxNjcYJxkcRqj-3FtUGQrA",52.3742572,4.8909295
"18","30II MB, Max Euweplein, Amsterdam, Netherlands","Australian","ChIJe9c_z-gJxkcRAUrPH5CIGHs",52.3624277,4.8826819
"19","Daam Schijfweg 10, 1507 BD Zaandam, Netherlands","Holland Gift Shop","ChIJ08DCwyzjxUcR3ncHJKNSGgI",52.4328457,4.8175543
"20","Admiraal de Ruijterweg 462, 1055 NG Amsterdam, Netherlands","H shop Amsterdam","ChIJh2QVHGXixUcR6Xs4YsbRpos",52.384117,4.8481442
"21","Nieuwendijk 7, 1012 LZ Amsterdam, Netherlands","Q & K Tabak and Souvenirs","ChIJy9fFasgJxkcRJRPRpvSfAFA",52.378756,4.8948807
"22","Dam 17, 1012 JS Amsterdam, Netherlands","Dam Square Souvenirs","ChIJBaALNscJxkcRO9kjKiN0zhc",52.372373,4.8937156
"23","Oude Hoogstraat 19, 1012 CD Amsterdam, Netherlands","Laut Souvenirs","ChIJiVoVML8JxkcR1wJlT8OsLGA",52.3713377,4.8977843
"24","Albert Cuypstraat 81, 1072 CP Amsterdam, Netherlands","Kruithof Souvenirs","ChIJj6hXlPIJxkcRwW2qEQvsgV0",52.355041,4.890596
"25","Staalstraat 28, 1011 JM Amsterdam, Netherlands","BIEC shop","ChIJVyNkS74JxkcRck3krzuRkyw",52.3681764,4.8982553
"26","Damrak 11, 1012 LG Amsterdam, Netherlands","Lotte's Gift Shop","ChIJrztZF7gJxkcRhUyX4_lbc7g",52.3767701,4.8975243
"27","Pieter Cornelisz Hooftstraat 33, 1071 BM Amsterdam, Netherlands","souvenirs 33","ChIJC2whPe8JxkcRYkfwtrO5yIo",52.3607331,4.8826589
"28","Jupiter 204, 1115 TM Duivendrecht, Netherlands","Lilo Gifts","ChIJQyY6t8QLxkcR4hFUbrX55AY",52.3324365,4.9337371
"29","Nieuwendijk 128, 1012 MS Amsterdam, Netherlands","Lostb Souvenirshop","ChIJxxi48scJxkcRx2CsV3tSIg4",52.3760395,4.895462
"30","Leidsestraat 68, 1017 PD Amsterdam, Netherlands","Seasons","ChIJx0cwt-kJxkcRYZSNvkdzlko",52.3654567,4.8850407
"31","Herengracht 64, 1398 AC Muiden, Netherlands","Hip Muiden","ChIJAf8JCfkNxkcRwMPzZcE_joc",52.330133,5.0697141
"32","Oudezijds Voorburgwal 127, 1012 DE Amsterdam, Netherlands","Red Light souvenir","ChIJUcxjzLgJxkcR_luV-Vs68lo",52.3720506,4.8976577
"33","Damrak 21, 1012 LJ Amsterdam, Netherlands","Amsterdam Experience","ChIJAbGKIbgJxkcRrkqNgprEyNw",52.3764695,4.8971726
"34","Centraal plein, Meibergdreef 9, 1105 AZ Netherlands","Kai's office en gift shop","ChIJ3fPYgH4LxkcR_cGfGD5fsbQ",52.2947195,4.9586863
"35","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","NL+ Gifts and Souvenirs","ChIJdc1McSnhxUcR9GKGXCsZC6g",52.3111248,4.7601289
"36","Oudezijds Voorburgwal 206, 1012 GJ Amsterdam, Netherlands","The New Bulldog","ChIJi4jourgJxkcRl2qql9aOX58",52.3727475,4.8965264
"37","Nieuwe Uilenburgerstraat 173, 1011 LN Amsterdam, Netherlands","Delft Blue Store","ChIJj9bDRbwJxkcRyQonkNy5BKM",52.3696522,4.9032559
"38","Gerard Doustraat 86HS, 1072 VW Amsterdam, Netherlands","All the Luck in the World","ChIJrbkGr_IJxkcRZWMhDzQf5p0",52.355651,4.891932
"39","Ruiseveenpad 58, 1106 AN Amsterdam, Netherlands","Tedmers World Changers","ChIJ59Hx6ogMxkcRxCX6mBsmhM4",52.2970917,4.9758941
"40","Mozes en Aäronstraat 8, 1012 XZ Amsterdam, Netherlands","Russian Treasures gift shop","ChIJM8vr6MYJxkcRPhNmLxPwr8Q",52.3737124,4.8911895
"41","Spuistraat 249-1hg, 1012 VP Amsterdam, Netherlands","Crazy Gifts","ChIJE8xIZsEJxkcROYVtUlymc9w",52.3707218,4.8893703
"42","Westermarkt 3, 1016 DH Amsterdam, Netherlands","Alex Souvenir","ChIJic-cd2QJxkcRNgpnfe0BAT0",52.3738513,4.8845519
"43","Damrak 24, 1012 LJ Amsterdam, Netherlands","Holland Experience","ChIJe48MIrgJxkcRBUfxlVAS3cU",52.3764058,4.8969799
"44","Stammerkamp 11, 1112 VE Diemen, Netherlands","Business geschenken","ChIJ0eg2ohAMxkcRg-eqTjoF1wE",52.330456,4.9862212
"45","Prinsengracht 297, 1016 GX Amsterdam, Netherlands","Nieuws Innoventions","ChIJA6TlucQJxkcRv5pAhUmI92Y",52.3735201,4.8833221
"46","Waterpoortsteeg 1, 1012 BJ Amsterdam, Netherlands","Ivana's Souveniers","ChIJj07ul7kJxkcR6IyYmqaJEwc",52.375145,4.9010859
"47","Damrak 91, 1012 LP Amsterdam, Netherlands","Amsterdam Today Gifts B.V.","ChIJa0bEE8cJxkcRQz757b2O-Bw",52.3738481,4.8937976
"48","Langebrugsteeg, 1012 GB Amsterdam, Netherlands","Long bridge Souvenirs","ChIJoUOHFM8JxkcRMKxxrhWkdQ0",52.3692937,4.8929399
"49","Kloveniersburgwal 30, 1012 CW Amsterdam, Netherlands","SAM Tabak & Souveniers","ChIJddd31r4JxkcRei-RTn-BjzA",52.3715053,4.8988107
"50","Spuistraat 136, 1012 VB Amsterdam, Netherlands","bPd (by Popular demand)","ChIJ0xeWo8YJxkcR6I0HJZYIWsE",52.3734819,4.8895743
"51","Kloveniersburgwal 32, 1012 CW Amsterdam, Netherlands","the old indian headshop","ChIJv1481r4JxkcR2KWafKUr4KE",52.3714344,4.8987454
"52","Bijlmerplein 93, 1102 DA Amsterdam, Netherlands","Daily Style","ChIJa0t405ELxkcRYGLcphP8oXg",52.3138056,4.9511359
"53","Paleisstraat 5, 1012 RB Amsterdam, Netherlands","'t Paleisje B.V.","ChIJVyzX0cYJxkcRDIFkeUMav84",52.372666,4.8914837
"54","De Ruijterkade 28 A t/m D, 1012 AA Amsterdam, Netherlands","I amsterdam Store","ChIJVSR0A7cJxkcRG3FxY23cQDY",52.379504,4.900776
"55","Geldersekade 3, 1011 EH Amsterdam, Netherlands","Best Souvenirs","ChIJw9ZP9LkJxkcRcXpYCeyifj4",52.3759304,4.9026066
"56","Kostverlorenhof 150, 1183 HK Amstelveen, Netherlands","Jang's Lifestyle","ChIJuz4XlWUKxkcRp0HL9q0U0UQ",52.3128142,4.8766049
"57","Haven 138, 1131 EW Volendam, Netherlands","Jonk Keizer Souvenirs","ChIJCW_Ve5YExkcRt9e3gWl6HDo",52.4930319,5.0746108
"58","Sint Annendwarsstraat 13, 1012 HC Amsterdam, Netherlands","THE UPCYCLE","ChIJKfeG7sS1xUcRH8SxQn9QWQY",52.3736943,4.8971401
"59","Nieuwezijds Voorburgwal 20, 1012 RZ Amsterdam, Netherlands","NL SOUVENIRS & SUPERMARKT V.O.F","ChIJj1VRx8YJxkcRP2_FG0mjDBc",52.377142,4.894688
"60","Berenstraat 2, 1016 GH Amsterdam, Netherlands","All the Luck in the World","ChIJp694GsMJxkcR92zLHqsA3ho",52.3704583,4.8841769
"65","Wolbrantskerkweg 112A, 1069 DA Amsterdam, Netherlands","Little Haakshop","ChIJtzWzrdvjxUcRsSYH7Ixaws8",52.354975,4.798448
"92","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","NL+ Souvenir & Sports","ChIJhfqcSijhxUcRp4HcdNVAMXo",52.3111155,4.7601282
"95","Randweg F-pier, 1118 CP Schiphol, Netherlands","Vizzit","ChIJxeR2S9jgxUcREZ8EBHcYQoY",52.3123573,4.7620837
"96","Pieter Cornelisz Hooftstraat 32, 1071 BZ Amsterdam, Netherlands","Giftshop Souvenirs R. Kaaks","ChIJc3pkO-8JxkcR-3s6bV_vzPs",52.3608977,4.8825677
"97","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","NL+ Souvenir & Sports","ChIJ0Sza4CfhxUcRQYfIowS1O0s",52.3091608,4.7655457
"99","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","Vizzit","ChIJjcjmbyfhxUcRqrlMQS_1ePA",52.3085599,4.7692549
"101","P.H. Frankfurthersingel 228, 1060 TP Amsterdam, Netherlands","PapierRivier","ChIJRZJhdWThxUcRbz2WMP57DI4",52.3441998,4.7929311
