"","formatted_address","name","place_id","lat","lng"
"1","Meibergdreef 2, 1105 AX Amsterdam, Netherlands","Coffee 2 go","ChIJdwi0Sn4LxkcRrRxDjI3pBTg",52.2972835,4.9600854
"2","Tegenover ingang parkeergarage P2 Volg borden P2, 1105 AZ Amsterdam, Netherlands","Eerste Hulp bij Fietsreparaties","ChIJ3fPYgH4LxkcRECfekC_ylLM",52.2933707,4.9557583
"3","Paasheuvelweg 34 H, 1105 BJ Amsterdam, Netherlands","Coffeemania","ChIJ2TjaKSHixUcRbyYhUIV-VIs",52.2973092,4.9531406
"4","Bijlmerdreef 138, 1102 AB Amsterdam, Netherlands","C&A","ChIJa_0vRI4LxkcRP9uMf0ofqHk",52.314543,4.953945
"5","Oudenrijnlaan 78, 1105 AZ Amsterdam, Netherlands","Coffee To Go","ChIJdyiFLX4LxkcRABEToFlGwnI",52.2970649,4.9610024
"6","Meibergdreef 9, 1105 AZ Amsterdam, Netherlands","Hairtrends Haarwerk","ChIJ2zlQFK91xkcRNcHF7DTja9A",52.294629,4.957973
"7","Stekkenbergweg 8, 1105 AJ Amsterdam, Netherlands","Metal Shop Amsterdam","ChIJv6TU-p4LxkcRfjhXoNsspjY",52.29588,4.947319
"8","Reigersbos 184, 1107 ES Amsterdam, Netherlands","Junior Afro Shop","ChIJbacmv4gMxkcRv800JtLEBF8",52.2950575,4.9760892
"9","Hoogoorddreef 80, 1101 BG Amsterdam, Netherlands","Würth shop Amsterdam Arena","ChIJd-VXDKILxkcR_ot4t69_IZ4",52.307512,4.93677
"10","Centraal plein, Meibergdreef 9, 1105 AZ Netherlands","Kai's office en gift shop","ChIJ3fPYgH4LxkcR_cGfGD5fsbQ",52.2947195,4.9586863
"11","Bijlmerplein 354, 1102 DK Amsterdam, Netherlands","Holland & Barrett","ChIJI5zFOo4LxkcRzQnUMlAQjCg",52.314393,4.952504
"12","Sijsjesbergweg 10, 1105 AL Amsterdam, Netherlands","De Voordeelmarkt Amsterdam","ChIJ6T7VSnELxkcRaq0yq120b-A",52.295347,4.9430347
